entity e1,entity e2,pair type,Full Sentence
Cerubidine,Cerubidine,false,Cerubidine should not be used in patients who have previously received the recommended maximum cumulative doses of doxorubicin or Cerubidine.
doxorubicin,Cerubidine,false,Cerubidine should not be used in patients who have previously received the recommended maximum cumulative doses of doxorubicin or Cerubidine.
Cyclophosphamide,Cerubidine,effect,Cyclophosphamide used concurrently with Cerubidine may also result in increased cardiotoxicity.
N-allylnormetazocine,NANM,false,The behavioral effects of the stereoisomers of N-allylnormetazocine (NANM) were compared with those of phencyclidine (PCP) in pigeons and squirrel monkeys responding under a multiple fixed-interval fixed-ratio (FI FR) schedule of food presentation.
N-allylnormetazocine,phencyclidine,false,The behavioral effects of the stereoisomers of N-allylnormetazocine (NANM) were compared with those of phencyclidine (PCP) in pigeons and squirrel monkeys responding under a multiple fixed-interval fixed-ratio (FI FR) schedule of food presentation.
N-allylnormetazocine,PCP,false,The behavioral effects of the stereoisomers of N-allylnormetazocine (NANM) were compared with those of phencyclidine (PCP) in pigeons and squirrel monkeys responding under a multiple fixed-interval fixed-ratio (FI FR) schedule of food presentation.
NANM,phencyclidine,false,The behavioral effects of the stereoisomers of N-allylnormetazocine (NANM) were compared with those of phencyclidine (PCP) in pigeons and squirrel monkeys responding under a multiple fixed-interval fixed-ratio (FI FR) schedule of food presentation.
NANM,PCP,false,The behavioral effects of the stereoisomers of N-allylnormetazocine (NANM) were compared with those of phencyclidine (PCP) in pigeons and squirrel monkeys responding under a multiple fixed-interval fixed-ratio (FI FR) schedule of food presentation.
phencyclidine,PCP,false,The behavioral effects of the stereoisomers of N-allylnormetazocine (NANM) were compared with those of phencyclidine (PCP) in pigeons and squirrel monkeys responding under a multiple fixed-interval fixed-ratio (FI FR) schedule of food presentation.
(+)-NANM,PCP,false,Intermediate doses of (+)-NANM or PCP produced transient increases in FI responding in monkeys and sustained increases in FI responding in pigeons;
(-)-NANM,(+)-NANM,false,"In monkeys, (-)-NANM was about 10 times more potent than (+)-NANM in decreasing responding, whereas in pigeons (-)-NANM was about equipotent with (+)-NANM."
(-)-NANM,(-)-NANM,false,"In monkeys, (-)-NANM was about 10 times more potent than (+)-NANM in decreasing responding, whereas in pigeons (-)-NANM was about equipotent with (+)-NANM."
(-)-NANM,(+)-NANM,false,"In monkeys, (-)-NANM was about 10 times more potent than (+)-NANM in decreasing responding, whereas in pigeons (-)-NANM was about equipotent with (+)-NANM."
(+)-NANM,(-)-NANM,false,"In monkeys, (-)-NANM was about 10 times more potent than (+)-NANM in decreasing responding, whereas in pigeons (-)-NANM was about equipotent with (+)-NANM."
(+)-NANM,(+)-NANM,false,"In monkeys, (-)-NANM was about 10 times more potent than (+)-NANM in decreasing responding, whereas in pigeons (-)-NANM was about equipotent with (+)-NANM."
(-)-NANM,(+)-NANM,false,"In monkeys, (-)-NANM was about 10 times more potent than (+)-NANM in decreasing responding, whereas in pigeons (-)-NANM was about equipotent with (+)-NANM."
(-)-NANM,(+)-NANM,false,"In both species, (-)-NANM, but not (+)-NANM, antagonized the rate-decreasing effects of morphine on FI and FR responding."
(-)-NANM,morphine,effect,"In both species, (-)-NANM, but not (+)-NANM, antagonized the rate-decreasing effects of morphine on FI and FR responding."
(+)-NANM,morphine,false,"In both species, (-)-NANM, but not (+)-NANM, antagonized the rate-decreasing effects of morphine on FI and FR responding."
(-)-NANM,(+)-NANM,false,"In monkeys, the effects of (-)-NANM, but not (+)-NANM or PCP, were antagonized by naloxone;"
(-)-NANM,PCP,false,"In monkeys, the effects of (-)-NANM, but not (+)-NANM or PCP, were antagonized by naloxone;"
(-)-NANM,naloxone,effect,"In monkeys, the effects of (-)-NANM, but not (+)-NANM or PCP, were antagonized by naloxone;"
(+)-NANM,PCP,false,"In monkeys, the effects of (-)-NANM, but not (+)-NANM or PCP, were antagonized by naloxone;"
(+)-NANM,naloxone,false,"In monkeys, the effects of (-)-NANM, but not (+)-NANM or PCP, were antagonized by naloxone;"
PCP,naloxone,false,"In monkeys, the effects of (-)-NANM, but not (+)-NANM or PCP, were antagonized by naloxone;"
naloxone,(-)-NANM,effect,the doses of naloxone required to antagonize the effects of (-)-NANM were more than 100 times higher than those required to antagonize the effects of morphine.
naloxone,morphine,effect,the doses of naloxone required to antagonize the effects of (-)-NANM were more than 100 times higher than those required to antagonize the effects of morphine.
(-)-NANM,morphine,false,the doses of naloxone required to antagonize the effects of (-)-NANM were more than 100 times higher than those required to antagonize the effects of morphine.
naloxone,(-)-NANM,false,"In pigeons, naloxone did not systematically alter the effects of (-)-NANM, (+)-NANM or PCP."
naloxone,(+)-NANM,false,"In pigeons, naloxone did not systematically alter the effects of (-)-NANM, (+)-NANM or PCP."
naloxone,PCP,false,"In pigeons, naloxone did not systematically alter the effects of (-)-NANM, (+)-NANM or PCP."
(-)-NANM,(+)-NANM,false,"In pigeons, naloxone did not systematically alter the effects of (-)-NANM, (+)-NANM or PCP."
(-)-NANM,PCP,false,"In pigeons, naloxone did not systematically alter the effects of (-)-NANM, (+)-NANM or PCP."
(+)-NANM,PCP,false,"In pigeons, naloxone did not systematically alter the effects of (-)-NANM, (+)-NANM or PCP."
Haloperidol,(+)-NANM,effect,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM."
Haloperidol,PCP,effect,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM."
Haloperidol,NANM,false,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM."
(+)-NANM,PCP,false,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM."
(+)-NANM,NANM,false,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM."
PCP,NANM,false,"Haloperidol reduced or eliminated the increases in FI responding produced by intermediate doses of either (+)-NANM or PCP in pigeons, but did not antagonize the decreases in FI or FR responding produced by high doses of PCP or either stereoisomer of NANM."
UROXATRAL,alpha-blockers,false,Drug-Drug Interactions: The pharmacokinetic and pharmacodynamic interactions between UROXATRAL and other alpha-blockers have not been determined.
UROXATRAL,alpha-blockers,advise,"However, interactions may be expected, and UROXATRAL should NOT be used in combination with other alpha-blockers."
muscle relaxants,anesthetic agents,false,"No clinically significant adverse interactions with commonly used preanesthetic drugs, or drugs used during anesthesia (muscle relaxants, intravenous agents, and local anesthetic agents) were reported in clinical trials."
isoflurane,desflurane,false,"Like isoflurane, desflurane does not predispose to premature ventricular arrhythmias in the presence of exogenously infused epinephrine in swine."
isoflurane,epinephrine,false,"Like isoflurane, desflurane does not predispose to premature ventricular arrhythmias in the presence of exogenously infused epinephrine in swine."
desflurane,epinephrine,false,"Like isoflurane, desflurane does not predispose to premature ventricular arrhythmias in the presence of exogenously infused epinephrine in swine."
vitamin D analogues,Vitamin D2,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D analogues,Vitamin D3,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D analogues,Calcitriol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D analogues,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D analogues,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D analogues,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
vitamin D analogues,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Vitamin D3,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Calcitriol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D2,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Calcitriol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Vitamin D3,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,Calcidiol,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcitriol,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcidiol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcidiol,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Calcidiol,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Cholestyramine,Cholestyramine,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Cholestyramine,fat soluble vitamins,false,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Cholestyramine,fat soluble vitamins,mechanism,"Interactions for vitamin D analogues (Vitamin D2, Vitamin D3, Calcitriol, and Calcidiol): Cholestyramine: Cholestyramine has been reported to reduce intestinal absorption of fat soluble vitamins;"
Phenytoin,Phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,phenytoin,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenytoin,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,phenytoin,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
Phenobarbital,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenytoin,phenobarbital,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenytoin,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenytoin,calcitriol,mechanism,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenobarbital,vitamin D,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
phenobarbital,calcitriol,mechanism,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
vitamin D,calcitriol,false,"Phenytoin/Phenobarbital: The coadministration of phenytoin or phenobarbital will not affect plasma concentrations of vitamin D, but may reduce endogenous plasma levels of calcitriol/ergocalcitriol by accelerating metabolism."
calcitriol,Rocaltrol,false,"Since blood level of calcitriol/ergocalcitriol will be reduced, higher doses of Rocaltrol may be necessary if these drugs are administered simultaneously."
Thiazides,Thiazides,false,Thiazides: Thiazides are known to induce hypercalcemia by the reduction of calcium excretion in urine.
thiazides,vitamin D,effect,Some reports have shown that the concomitant administration of thiazides with vitamin D causes hypercalcemia.
Digitalis,Vitamin D,false,"Digitalis: Vitamin D dosage must be determined with care in patients undergoing treatment with digitalis, as hypercalcemia in such patients may precipitate cardiac arrhythmias."
Digitalis,digitalis,false,"Digitalis: Vitamin D dosage must be determined with care in patients undergoing treatment with digitalis, as hypercalcemia in such patients may precipitate cardiac arrhythmias."
Vitamin D,digitalis,advise,"Digitalis: Vitamin D dosage must be determined with care in patients undergoing treatment with digitalis, as hypercalcemia in such patients may precipitate cardiac arrhythmias."
Ketoconazole,Ketoconazole,false,Ketoconazole: Ketoconazole may inhibit both synthetic and catabolic enzymes of vitamin D.
Ketoconazole,vitamin D,false,Ketoconazole: Ketoconazole may inhibit both synthetic and catabolic enzymes of vitamin D.
Ketoconazole,vitamin D,mechanism,Ketoconazole: Ketoconazole may inhibit both synthetic and catabolic enzymes of vitamin D.
ketoconazole,vitamin D,false,"However, in vivo drug interaction studies of ketoconazole with vitamin D have not been investigated."
Corticosteroids,vitamin D analogues,false,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
Corticosteroids,corticosteroids,false,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
vitamin D analogues,corticosteroids,mechanism,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
Vitamin D,vitamin D analogues,false,Vitamin D: The coadministration of any of the vitamin D analogues should be avoided as this could create possible additive effects and hypercalcemia.
Calcium,calcium,false,Calcium Supplements: Uncontrolled intake of additional calcium-containing preparations should be avoided.
Magnesium,Magnesium,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,antacids,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,vitamin D,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,antacids,false,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Magnesium,vitamin D,advise,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
antacids,vitamin D,advise,"Magnesium: Magnesium-containing preparations (eg, antacids) may cause hypermagnesemia and should therefore not be taken during therapy with vitamin D by patients on chronic renal dialysis."
Gemzar,cisplatin,false,"For information on the pharmacokinetics of Gemzar and cisplatin in combination, see Drug Interactions under CLINICAL PHARMACOLOGY section."
VIRACEPT,dihydropyridine calcium channel blockers,false,"Coadministration of VIRACEPT and drugs primarily metabolized by CYP3A (e.g., dihydropyridine calcium channel blockers) may result in increased plasma concentrations of the other drug that could increase or prolong both its therapeutic and adverse effects."
VIRACEPT,nelfinavir,false,Coadministration of VIRACEPT and drugs that induce CYP3A may decrease nelfinavir plasma concentrations and reduce its therapeutic effect.
VIRACEPT,nelfinavir,false,Coadministration of VIRACEPT and drugs that inhibit CYP3A may increase nelfinavir plasma concentrations.
VIRACEPT,dapsone,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
VIRACEPT,trimethoprim,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
VIRACEPT,sulfamethoxazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
VIRACEPT,clarithromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
VIRACEPT,erythromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
VIRACEPT,itraconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
VIRACEPT,fluconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
dapsone,trimethoprim,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
dapsone,sulfamethoxazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
dapsone,clarithromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
dapsone,erythromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
dapsone,itraconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
dapsone,fluconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
trimethoprim,sulfamethoxazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
trimethoprim,clarithromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
trimethoprim,erythromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
trimethoprim,itraconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
trimethoprim,fluconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
sulfamethoxazole,clarithromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
sulfamethoxazole,erythromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
sulfamethoxazole,itraconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
sulfamethoxazole,fluconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
clarithromycin,erythromycin,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
clarithromycin,itraconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
clarithromycin,fluconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
erythromycin,itraconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
erythromycin,fluconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
itraconazole,fluconazole,false,"Based on known metabolic profiles, clinically significant drug interactions are not expected between VIRACEPT and dapsone, trimethoprim/sulfamethoxazole, clarithromycin, erythromycin, itraconazole or fluconazole."
VIRACEPT,Antiarrhythmics,advise,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
VIRACEPT,amiodarone,advise,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
VIRACEPT,quinidine,advise,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
VIRACEPT,Antihistamines,advise,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
VIRACEPT,astemizole,advise,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
VIRACEPT,terfenadine,advise,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
VIRACEPT,ergot derivatives,advise,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
