entity e1,entity e2,ddi,pair type
cimetidine,troleandomycin,false,
cimetidine,valproate,false,
cimetidine,verapamil,false,
cimetidine,zileuton,false,
clarithromycin,dalfopristin,false,
clarithromycin,danazol,false,
clarithromycin,delavirdine,false,
clarithromycin,diltiazem,false,
clarithromycin,erythromycin,false,
clarithromycin,fluoxetine,false,
clarithromycin,fluvoxamine,false,
clarithromycin,isoniazid,false,
clarithromycin,itraconazole,false,
clarithromycin,ketoconazole,false,
clarithromycin,loratadine,false,
clarithromycin,niacinamide,false,
clarithromycin,nicotinamide,false,
clarithromycin,protease inhibitors,false,
clarithromycin,propoxyphene,false,
clarithromycin,quinine,false,
clarithromycin,quinupristin,false,
clarithromycin,valproate,false,
clarithromycin,verapamil,false,
clarithromycin,zileuton,false,
dalfopristin,danazol,false,
dalfopristin,delavirdine,false,
dalfopristin,diltiazem,false,
dalfopristin,erythromycin,false,
dalfopristin,fluoxetine,false,
dalfopristin,fluvoxamine,false,
dalfopristin,isoniazid,false,
dalfopristin,itraconazole,false,
dalfopristin,ketoconazole,false,
dalfopristin,loratadine,false,
dalfopristin,nefazodone,false,
dalfopristin,niacinamide,false,
dalfopristin,nicotinamide,false,
dalfopristin,protease inhibitors,false,
dalfopristin,propoxyphene,false,
dalfopristin,quinine,false,
dalfopristin,quinupristin,false,
dalfopristin,troleandomycin,false,
dalfopristin,valproate,false,
dalfopristin,verapamil,false,
dalfopristin,zileuton,false,
danazol,delavirdine,false,
danazol,diltiazem,false,
danazol,erythromycin,false,
danazol,fluoxetine,false,
danazol,fluvoxamine,false,
danazol,itraconazole,false,
danazol,ketoconazole,false,
danazol,loratadine,false,
danazol,nefazodone,false,
danazol,niacinamide,false,
danazol,nicotinamide,false,
danazol,protease inhibitors,false,
danazol,propoxyphene,false,
danazol,quinine,false,
danazol,quinupristin,false,
danazol,troleandomycin,false,
danazol,valproate,false,
danazol,verapamil,false,
danazol,zileuton,false,
delavirdine,diltiazem,false,
delavirdine,erythromycin,false,
delavirdine,fluoxetine,false,
delavirdine,fluvoxamine,false,
delavirdine,isoniazid,false,
delavirdine,itraconazole,false,
delavirdine,ketoconazole,false,
delavirdine,loratadine,false,
delavirdine,nefazodone,false,
delavirdine,niacinamide,false,
delavirdine,nicotinamide,false,
delavirdine,protease inhibitors,false,
delavirdine,propoxyphene,false,
delavirdine,quinine,false,
delavirdine,quinupristin,false,
delavirdine,troleandomycin,false,
delavirdine,valproate,false,
delavirdine,verapamil,false,
delavirdine,zileuton,false,
diltiazem,erythromycin,false,
diltiazem,fluoxetine,false,
diltiazem,fluvoxamine,false,
diltiazem,isoniazid,false,
diltiazem,itraconazole,false,
diltiazem,ketoconazole,false,
diltiazem,loratadine,false,
diltiazem,nefazodone,false,
diltiazem,niacinamide,false,
diltiazem,nicotinamide,false,
diltiazem,protease inhibitors,false,
diltiazem,propoxyphene,false,
diltiazem,quinine,false,
diltiazem,quinupristin,false,
diltiazem,troleandomycin,false,
diltiazem,valproate,false,
diltiazem,verapamil,false,
diltiazem,zileuton,false,
erythromycin,fluoxetine,false,
erythromycin,fluvoxamine,false,
erythromycin,isoniazid,false,
erythromycin,itraconazole,false,
erythromycin,loratadine,false,
erythromycin,nefazodone,false,
erythromycin,niacinamide,false,
erythromycin,nicotinamide,false,
erythromycin,protease inhibitors,false,
erythromycin,propoxyphene,false,
erythromycin,quinine,false,
erythromycin,quinupristin,false,
erythromycin,valproate,false,
erythromycin,zileuton,false,
fluoxetine,isoniazid,false,
fluoxetine,itraconazole,false,
fluoxetine,ketoconazole,false,
fluoxetine,loratadine,false,
fluoxetine,nefazodone,false,
fluoxetine,niacinamide,false,
fluoxetine,nicotinamide,false,
fluoxetine,protease inhibitors,false,
fluoxetine,quinine,false,
fluoxetine,quinupristin,false,
fluoxetine,troleandomycin,false,
fluoxetine,valproate,false,
fluoxetine,verapamil,false,
fluoxetine,zileuton,false,
fluvoxamine,isoniazid,false,
fluvoxamine,itraconazole,false,
fluvoxamine,ketoconazole,false,
fluvoxamine,loratadine,false,
fluvoxamine,nefazodone,false,
fluvoxamine,niacinamide,false,
fluvoxamine,nicotinamide,false,
fluvoxamine,protease inhibitors,false,
fluvoxamine,propoxyphene,false,
fluvoxamine,quinine,false,
fluvoxamine,quinupristin,false,
fluvoxamine,troleandomycin,false,
fluvoxamine,valproate,false,
fluvoxamine,verapamil,false,
fluvoxamine,zileuton,false,
isoniazid,itraconazole,false,
isoniazid,ketoconazole,false,
isoniazid,loratadine,false,
isoniazid,nefazodone,false,
isoniazid,niacinamide,false,
isoniazid,nicotinamide,false,
isoniazid,protease inhibitors,false,
isoniazid,propoxyphene,false,
isoniazid,quinine,false,
isoniazid,quinupristin,false,
isoniazid,troleandomycin,false,
isoniazid,verapamil,false,
isoniazid,zileuton,false,
itraconazole,ketoconazole,false,
itraconazole,loratadine,false,
itraconazole,niacinamide,false,
itraconazole,nicotinamide,false,
itraconazole,protease inhibitors,false,
itraconazole,propoxyphene,false,
itraconazole,quinine,false,
itraconazole,quinupristin,false,
itraconazole,valproate,false,
itraconazole,verapamil,false,
itraconazole,zileuton,false,
ketoconazole,loratadine,false,
ketoconazole,nefazodone,false,
ketoconazole,niacinamide,false,
ketoconazole,nicotinamide,false,
ketoconazole,protease inhibitors,false,
ketoconazole,propoxyphene,false,
ketoconazole,quinine,false,
ketoconazole,quinupristin,false,
ketoconazole,troleandomycin,false,
ketoconazole,valproate,false,
ketoconazole,verapamil,false,
ketoconazole,zileuton,false,
loratadine,nefazodone,false,
loratadine,niacinamide,false,
loratadine,nicotinamide,false,
loratadine,protease inhibitors,false,
loratadine,propoxyphene,false,
loratadine,quinine,false,
loratadine,quinupristin,false,
loratadine,troleandomycin,false,
loratadine,valproate,false,
loratadine,verapamil,false,
loratadine,zileuton,false,
nefazodone,niacinamide,false,
nefazodone,nicotinamide,false,
nefazodone,protease inhibitors,false,
nefazodone,propoxyphene,false,
nefazodone,quinine,false,
nefazodone,quinupristin,false,
nefazodone,valproate,false,
nefazodone,verapamil,false,
nefazodone,zileuton,false,
niacinamide,nicotinamide,false,
niacinamide,protease inhibitors,false,
niacinamide,propoxyphene,false,
niacinamide,quinine,false,
niacinamide,quinupristin,false,
niacinamide,troleandomycin,false,
niacinamide,valproate,false,
niacinamide,verapamil,false,
niacinamide,zileuton,false,
nicotinamide,protease inhibitors,false,
nicotinamide,propoxyphene,false,
nicotinamide,quinine,false,
nicotinamide,quinupristin,false,
nicotinamide,troleandomycin,false,
nicotinamide,valproate,false,
nicotinamide,verapamil,false,
nicotinamide,zileuton,false,
protease inhibitors,propoxyphene,false,
protease inhibitors,quinine,false,
protease inhibitors,quinupristin,false,
protease inhibitors,troleandomycin,false,
protease inhibitors,valproate,false,
protease inhibitors,verapamil,false,
protease inhibitors,zileuton,false,
propoxyphene,quinine,false,
propoxyphene,quinupristin,false,
propoxyphene,troleandomycin,false,
propoxyphene,valproate,false,
propoxyphene,verapamil,false,
propoxyphene,zileuton,false,
quinine,quinupristin,false,
quinine,troleandomycin,false,
quinine,valproate,false,
quinine,verapamil,false,
quinine,zileuton,false,
quinupristin,troleandomycin,false,
quinupristin,valproate,false,
quinupristin,verapamil,false,
quinupristin,zileuton,false,
troleandomycin,valproate,false,
troleandomycin,verapamil,false,
troleandomycin,zileuton,false,
valproate,verapamil,false,
valproate,zileuton,false,
verapamil,zileuton,false,
EQUETROTM,EQUETROTM,false,
EQUETROTM,Cisplatin,true,mechanism
EQUETROTM,doxorubicin HCL,true,mechanism
EQUETROTM,felbamate,true,mechanism
EQUETROTM,rifampin,true,mechanism
EQUETROTM,phenobarbital,true,mechanism
EQUETROTM,Phenytoin,true,mechanism
EQUETROTM,primidone,true,mechanism
EQUETROTM,methsuximide,true,mechanism
EQUETROTM,theophylline,true,mechanism
Cisplatin,doxorubicin HCL,false,
Cisplatin,felbamate,false,
Cisplatin,rifampin,false,
Cisplatin,phenobarbital,false,
Cisplatin,Phenytoin,false,
Cisplatin,primidone,false,
Cisplatin,methsuximide,false,
Cisplatin,theophylline,false,
Cisplatin,EQUETROTM,false,
doxorubicin HCL,felbamate,false,
doxorubicin HCL,rifampin,false,
doxorubicin HCL,phenobarbital,false,
doxorubicin HCL,Phenytoin,false,
doxorubicin HCL,primidone,false,
doxorubicin HCL,methsuximide,false,
doxorubicin HCL,theophylline,false,
doxorubicin HCL,EQUETROTM,false,
felbamate,rifampin,false,
felbamate,phenobarbital,false,
felbamate,Phenytoin,false,
felbamate,primidone,false,
felbamate,methsuximide,false,
felbamate,theophylline,false,
felbamate,EQUETROTM,false,
rifampin,Phenytoin,false,
rifampin,primidone,false,
rifampin,methsuximide,false,
rifampin,EQUETROTM,false,
phenobarbital,Phenytoin,false,
phenobarbital,methsuximide,false,
phenobarbital,theophylline,false,
phenobarbital,EQUETROTM,false,
Phenytoin,primidone,false,
Phenytoin,methsuximide,false,
Phenytoin,theophylline,false,
Phenytoin,EQUETROTM,false,
primidone,methsuximide,false,
primidone,theophylline,false,
primidone,EQUETROTM,false,
methsuximide,theophylline,false,
methsuximide,EQUETROTM,false,
theophylline,EQUETROTM,false,
EQUETROTM,Acetaminophen,true,mechanism
EQUETROTM,alprazolam,true,mechanism
EQUETROTM,amitriptyline,true,mechanism
EQUETROTM,bupropion,true,mechanism
EQUETROTM,buspirone,true,mechanism
EQUETROTM,citalopram,true,mechanism
EQUETROTM,clobazam,true,mechanism
EQUETROTM,clonazepam,true,mechanism
EQUETROTM,clozapine,true,mechanism
EQUETROTM,cyclosporin,true,mechanism
EQUETROTM,desipramine,true,mechanism
EQUETROTM,diazepam,true,mechanism
EQUETROTM,dicumarol,true,mechanism
EQUETROTM,doxycycline,true,mechanism
EQUETROTM,ethosuximide,true,mechanism
EQUETROTM,felodipine,true,mechanism
EQUETROTM,glucocorticoids,true,mechanism
EQUETROTM,haloperidol,true,mechanism
EQUETROTM,lamotrigine,true,mechanism
EQUETROTM,levothyroxine,true,mechanism
EQUETROTM,lorazepam,true,mechanism
EQUETROTM,methadone,true,mechanism
EQUETROTM,midazolam,true,mechanism
EQUETROTM,mirtazapine,true,mechanism
EQUETROTM,nortriptyline,true,mechanism
EQUETROTM,olanzapine,true,mechanism
EQUETROTM,contraceptives,true,mechanism
EQUETROTM,oxcarbazepine,true,mechanism
EQUETROTM,praziquantel,true,mechanism
EQUETROTM,quetiapine,true,mechanism
EQUETROTM,risperidone,true,mechanism
EQUETROTM,topiramate,true,mechanism
EQUETROTM,tiagabine,true,mechanism
EQUETROTM,tramadol,true,mechanism
EQUETROTM,triazolam,true,mechanism
EQUETROTM,warfarin,true,mechanism
EQUETROTM,ziprasidone,true,mechanism
EQUETROTM,zonisamide,true,mechanism
Acetaminophen,alprazolam,false,
Acetaminophen,amitriptyline,false,
Acetaminophen,bupropion,false,
Acetaminophen,buspirone,false,
Acetaminophen,citalopram,false,
Acetaminophen,clobazam,false,
Acetaminophen,clonazepam,false,
Acetaminophen,clozapine,false,
Acetaminophen,cyclosporin,false,
Acetaminophen,delavirdine,false,
Acetaminophen,desipramine,false,
Acetaminophen,diazepam,false,
Acetaminophen,dicumarol,false,
Acetaminophen,doxycycline,false,
Acetaminophen,ethosuximide,false,
Acetaminophen,felbamate,false,
Acetaminophen,felodipine,false,
Acetaminophen,glucocorticoids,false,
Acetaminophen,haloperidol,false,
Acetaminophen,itraconazole,false,
Acetaminophen,lamotrigine,false,
Acetaminophen,levothyroxine,false,
Acetaminophen,lorazepam,false,
Acetaminophen,methadone,false,
Acetaminophen,midazolam,false,
Acetaminophen,mirtazapine,false,
Acetaminophen,nortriptyline,false,
Acetaminophen,olanzapine,false,
Acetaminophen,contraceptives,false,
Acetaminophen,oxcarbazepine,false,
Acetaminophen,Phenytoin,false,
Acetaminophen,praziquantel,false,
Acetaminophen,protease inhibitors,false,
Acetaminophen,quetiapine,false,
Acetaminophen,risperidone,false,
Acetaminophen,theophylline,false,
Acetaminophen,topiramate,false,
Acetaminophen,tiagabine,false,
Acetaminophen,tramadol,false,
Acetaminophen,triazolam,false,
Acetaminophen,valproate,false,
Acetaminophen,warfarin,false,
Acetaminophen,ziprasidone,false,
Acetaminophen,zonisamide,false,
alprazolam,amitriptyline,false,
alprazolam,bupropion,false,
alprazolam,buspirone,false,
alprazolam,citalopram,false,
alprazolam,clobazam,false,
alprazolam,clonazepam,false,
alprazolam,clozapine,false,
alprazolam,cyclosporin,false,
alprazolam,delavirdine,false,
alprazolam,desipramine,false,
alprazolam,diazepam,false,
alprazolam,dicumarol,false,
alprazolam,doxycycline,false,
alprazolam,ethosuximide,false,
alprazolam,felbamate,false,
alprazolam,felodipine,false,
alprazolam,glucocorticoids,false,
alprazolam,haloperidol,false,
alprazolam,itraconazole,false,
alprazolam,lamotrigine,false,
alprazolam,levothyroxine,false,
alprazolam,lorazepam,false,
alprazolam,methadone,false,
alprazolam,midazolam,false,
alprazolam,mirtazapine,false,
alprazolam,nortriptyline,false,
alprazolam,olanzapine,false,
alprazolam,contraceptives,false,
alprazolam,oxcarbazepine,false,
alprazolam,Phenytoin,false,
alprazolam,praziquantel,false,
alprazolam,protease inhibitors,false,
alprazolam,quetiapine,false,
alprazolam,risperidone,false,
alprazolam,theophylline,false,
alprazolam,topiramate,false,
alprazolam,tiagabine,false,
alprazolam,tramadol,false,
alprazolam,valproate,false,
alprazolam,warfarin,false,
alprazolam,ziprasidone,false,
alprazolam,zonisamide,false,
amitriptyline,bupropion,false,
amitriptyline,buspirone,false,
amitriptyline,citalopram,false,
amitriptyline,clobazam,false,
amitriptyline,clonazepam,false,
amitriptyline,clozapine,false,
amitriptyline,cyclosporin,false,
amitriptyline,delavirdine,false,
amitriptyline,desipramine,false,
amitriptyline,diazepam,false,
amitriptyline,dicumarol,false,
amitriptyline,doxycycline,false,
amitriptyline,ethosuximide,false,
amitriptyline,felbamate,false,
amitriptyline,felodipine,false,
amitriptyline,glucocorticoids,false,
amitriptyline,haloperidol,false,
amitriptyline,itraconazole,false,
amitriptyline,lamotrigine,false,
amitriptyline,levothyroxine,false,
amitriptyline,lorazepam,false,
amitriptyline,methadone,false,
amitriptyline,midazolam,false,
amitriptyline,mirtazapine,false,
amitriptyline,nortriptyline,false,
amitriptyline,olanzapine,false,
amitriptyline,contraceptives,false,
amitriptyline,oxcarbazepine,false,
amitriptyline,Phenytoin,false,
amitriptyline,praziquantel,false,
amitriptyline,protease inhibitors,false,
amitriptyline,quetiapine,false,
amitriptyline,risperidone,false,
amitriptyline,theophylline,false,
amitriptyline,topiramate,false,
amitriptyline,tiagabine,false,
amitriptyline,tramadol,false,
amitriptyline,triazolam,false,
amitriptyline,valproate,false,
amitriptyline,warfarin,false,
amitriptyline,ziprasidone,false,
amitriptyline,zonisamide,false,
bupropion,buspirone,false,
bupropion,citalopram,false,
bupropion,clobazam,false,
bupropion,clonazepam,false,
bupropion,clozapine,false,
bupropion,cyclosporin,false,
bupropion,delavirdine,false,
bupropion,desipramine,false,
bupropion,diazepam,false,
bupropion,dicumarol,false,
bupropion,doxycycline,false,
bupropion,ethosuximide,false,
bupropion,felbamate,false,
bupropion,felodipine,false,
bupropion,glucocorticoids,false,
bupropion,haloperidol,false,
bupropion,itraconazole,false,
bupropion,lamotrigine,false,
bupropion,levothyroxine,false,
bupropion,lorazepam,false,
bupropion,methadone,false,
bupropion,midazolam,false,
bupropion,mirtazapine,false,
bupropion,nortriptyline,false,
bupropion,olanzapine,false,
bupropion,contraceptives,false,
bupropion,oxcarbazepine,false,
bupropion,Phenytoin,false,
bupropion,praziquantel,false,
bupropion,protease inhibitors,false,
bupropion,quetiapine,false,
bupropion,risperidone,false,
bupropion,theophylline,false,
bupropion,topiramate,false,
bupropion,tiagabine,false,
bupropion,tramadol,false,
bupropion,triazolam,false,
bupropion,valproate,false,
bupropion,warfarin,false,
bupropion,ziprasidone,false,
bupropion,zonisamide,false,
buspirone,citalopram,false,
buspirone,clobazam,false,
buspirone,clonazepam,false,
buspirone,clozapine,false,
buspirone,cyclosporin,false,
buspirone,delavirdine,false,
buspirone,desipramine,false,
buspirone,diazepam,false,
buspirone,dicumarol,false,
buspirone,doxycycline,false,
buspirone,ethosuximide,false,
buspirone,felbamate,false,
buspirone,felodipine,false,
buspirone,glucocorticoids,false,
buspirone,haloperidol,false,
buspirone,itraconazole,false,
buspirone,lamotrigine,false,
buspirone,levothyroxine,false,
buspirone,lorazepam,false,
buspirone,methadone,false,
buspirone,midazolam,false,
buspirone,mirtazapine,false,
buspirone,nortriptyline,false,
buspirone,olanzapine,false,
buspirone,contraceptives,false,
buspirone,oxcarbazepine,false,
buspirone,Phenytoin,false,
buspirone,praziquantel,false,
buspirone,protease inhibitors,false,
buspirone,quetiapine,false,
buspirone,risperidone,false,
buspirone,theophylline,false,
buspirone,topiramate,false,
buspirone,tiagabine,false,
buspirone,tramadol,false,
buspirone,triazolam,false,
buspirone,valproate,false,
buspirone,warfarin,false,
buspirone,ziprasidone,false,
buspirone,zonisamide,false,
citalopram,clobazam,false,
citalopram,clonazepam,false,
citalopram,clozapine,false,
citalopram,cyclosporin,false,
citalopram,delavirdine,false,
citalopram,desipramine,false,
citalopram,diazepam,false,
citalopram,dicumarol,false,
citalopram,doxycycline,false,
citalopram,ethosuximide,false,
citalopram,felbamate,false,
citalopram,felodipine,false,
citalopram,glucocorticoids,false,
citalopram,haloperidol,false,
citalopram,itraconazole,false,
citalopram,lamotrigine,false,
citalopram,levothyroxine,false,
citalopram,lorazepam,false,
citalopram,methadone,false,
citalopram,midazolam,false,
citalopram,mirtazapine,false,
citalopram,nortriptyline,false,
citalopram,olanzapine,false,
citalopram,contraceptives,false,
citalopram,oxcarbazepine,false,
citalopram,Phenytoin,false,
citalopram,praziquantel,false,
citalopram,protease inhibitors,false,
citalopram,quetiapine,false,
citalopram,risperidone,false,
citalopram,topiramate,false,
citalopram,tiagabine,false,
citalopram,tramadol,false,
citalopram,valproate,false,
citalopram,ziprasidone,false,
citalopram,zonisamide,false,
clobazam,clonazepam,false,
clobazam,clozapine,false,
clobazam,cyclosporin,false,
clobazam,delavirdine,false,
clobazam,desipramine,false,
clobazam,diazepam,false,
clobazam,dicumarol,false,
clobazam,doxycycline,false,
clobazam,ethosuximide,false,
clobazam,felbamate,false,
clobazam,felodipine,false,
clobazam,glucocorticoids,false,
clobazam,haloperidol,false,
clobazam,itraconazole,false,
clobazam,lamotrigine,false,
clobazam,levothyroxine,false,
clobazam,lorazepam,false,
clobazam,methadone,false,
clobazam,midazolam,false,
clobazam,mirtazapine,false,
clobazam,nortriptyline,false,
clobazam,olanzapine,false,
clobazam,contraceptives,false,
clobazam,oxcarbazepine,false,
clobazam,Phenytoin,false,
clobazam,praziquantel,false,
clobazam,protease inhibitors,false,
clobazam,quetiapine,false,
clobazam,risperidone,false,
clobazam,theophylline,false,
clobazam,topiramate,false,
clobazam,tiagabine,false,
clobazam,tramadol,false,
clobazam,triazolam,false,
clobazam,valproate,false,
clobazam,warfarin,false,
clobazam,ziprasidone,false,
clobazam,zonisamide,false,
clonazepam,clozapine,false,
clonazepam,cyclosporin,false,
clonazepam,delavirdine,false,
clonazepam,desipramine,false,
clonazepam,diazepam,false,
clonazepam,dicumarol,false,
clonazepam,doxycycline,false,
clonazepam,ethosuximide,false,
clonazepam,felbamate,false,
clonazepam,felodipine,false,
clonazepam,glucocorticoids,false,
clonazepam,haloperidol,false,
clonazepam,itraconazole,false,
clonazepam,lamotrigine,false,
clonazepam,levothyroxine,false,
clonazepam,lorazepam,false,
clonazepam,methadone,false,
clonazepam,midazolam,false,
clonazepam,mirtazapine,false,
clonazepam,nortriptyline,false,
clonazepam,olanzapine,false,
clonazepam,contraceptives,false,
clonazepam,oxcarbazepine,false,
clonazepam,Phenytoin,false,
clonazepam,praziquantel,false,
clonazepam,protease inhibitors,false,
clonazepam,quetiapine,false,
clonazepam,risperidone,false,
clonazepam,theophylline,false,
clonazepam,topiramate,false,
clonazepam,tiagabine,false,
clonazepam,tramadol,false,
clonazepam,triazolam,false,
clonazepam,valproate,false,
clonazepam,warfarin,false,
clonazepam,ziprasidone,false,
clonazepam,zonisamide,false,
clozapine,cyclosporin,false,
clozapine,delavirdine,false,
clozapine,desipramine,false,
clozapine,diazepam,false,
clozapine,dicumarol,false,
clozapine,doxycycline,false,
clozapine,ethosuximide,false,
clozapine,felbamate,false,
clozapine,felodipine,false,
clozapine,glucocorticoids,false,
clozapine,haloperidol,false,
clozapine,itraconazole,false,
clozapine,lamotrigine,false,
clozapine,levothyroxine,false,
clozapine,lorazepam,false,
clozapine,methadone,false,
clozapine,midazolam,false,
clozapine,mirtazapine,false,
clozapine,nortriptyline,false,
clozapine,olanzapine,false,
clozapine,contraceptives,false,
clozapine,oxcarbazepine,false,
clozapine,Phenytoin,false,
clozapine,praziquantel,false,
clozapine,protease inhibitors,false,
clozapine,quetiapine,false,
clozapine,theophylline,false,
clozapine,topiramate,false,
clozapine,tiagabine,false,
clozapine,tramadol,false,
clozapine,triazolam,false,
clozapine,valproate,false,
clozapine,warfarin,false,
clozapine,ziprasidone,false,
clozapine,zonisamide,false,
cyclosporin,delavirdine,false,
cyclosporin,desipramine,false,
cyclosporin,diazepam,false,
cyclosporin,dicumarol,false,
cyclosporin,doxycycline,false,
cyclosporin,ethosuximide,false,
cyclosporin,felbamate,false,
cyclosporin,felodipine,false,
cyclosporin,glucocorticoids,false,
cyclosporin,haloperidol,false,
cyclosporin,itraconazole,false,
cyclosporin,lamotrigine,false,
cyclosporin,levothyroxine,false,
cyclosporin,lorazepam,false,
cyclosporin,methadone,false,
cyclosporin,midazolam,false,
cyclosporin,mirtazapine,false,
cyclosporin,nortriptyline,false,
cyclosporin,olanzapine,false,
cyclosporin,contraceptives,false,
cyclosporin,oxcarbazepine,false,
cyclosporin,Phenytoin,false,
cyclosporin,praziquantel,false,
cyclosporin,protease inhibitors,false,
cyclosporin,quetiapine,false,
cyclosporin,risperidone,false,
cyclosporin,theophylline,false,
cyclosporin,topiramate,false,
cyclosporin,tiagabine,false,
cyclosporin,tramadol,false,
cyclosporin,triazolam,false,
cyclosporin,valproate,false,
cyclosporin,warfarin,false,
cyclosporin,ziprasidone,false,
cyclosporin,zonisamide,false,
delavirdine,desipramine,false,
delavirdine,diazepam,false,
delavirdine,dicumarol,false,
delavirdine,doxycycline,false,
delavirdine,ethosuximide,false,
delavirdine,felbamate,false,
delavirdine,felodipine,false,
delavirdine,glucocorticoids,false,
delavirdine,haloperidol,false,
delavirdine,lamotrigine,false,
delavirdine,levothyroxine,false,
delavirdine,lorazepam,false,
delavirdine,methadone,false,
delavirdine,midazolam,false,
delavirdine,mirtazapine,false,
delavirdine,nortriptyline,false,
delavirdine,olanzapine,false,
delavirdine,contraceptives,false,
delavirdine,oxcarbazepine,false,
delavirdine,Phenytoin,false,
delavirdine,praziquantel,false,
delavirdine,quetiapine,false,
delavirdine,risperidone,false,
delavirdine,theophylline,false,
delavirdine,topiramate,false,
delavirdine,tiagabine,false,
delavirdine,tramadol,false,
delavirdine,triazolam,false,
delavirdine,warfarin,false,
delavirdine,ziprasidone,false,
delavirdine,zonisamide,false,
desipramine,diazepam,false,
desipramine,dicumarol,false,
desipramine,doxycycline,false,
desipramine,ethosuximide,false,
desipramine,felbamate,false,
desipramine,felodipine,false,
desipramine,glucocorticoids,false,
desipramine,haloperidol,false,
desipramine,itraconazole,false,
desipramine,lamotrigine,false,
desipramine,levothyroxine,false,
desipramine,lorazepam,false,
desipramine,methadone,false,
desipramine,midazolam,false,
desipramine,mirtazapine,false,
desipramine,nortriptyline,false,
desipramine,olanzapine,false,
desipramine,contraceptives,false,
desipramine,oxcarbazepine,false,
desipramine,Phenytoin,false,
desipramine,praziquantel,false,
desipramine,protease inhibitors,false,
desipramine,quetiapine,false,
desipramine,risperidone,false,
desipramine,theophylline,false,
desipramine,topiramate,false,
desipramine,tiagabine,false,
desipramine,tramadol,false,
desipramine,triazolam,false,
desipramine,valproate,false,
desipramine,warfarin,false,
desipramine,ziprasidone,false,
desipramine,zonisamide,false,
diazepam,dicumarol,false,
diazepam,doxycycline,false,
diazepam,ethosuximide,false,
diazepam,felbamate,false,
diazepam,felodipine,false,
diazepam,glucocorticoids,false,
diazepam,haloperidol,false,
diazepam,itraconazole,false,
diazepam,lamotrigine,false,
diazepam,levothyroxine,false,
diazepam,lorazepam,false,
diazepam,methadone,false,
diazepam,mirtazapine,false,
diazepam,nortriptyline,false,
diazepam,olanzapine,false,
diazepam,contraceptives,false,
diazepam,oxcarbazepine,false,
diazepam,Phenytoin,false,
diazepam,praziquantel,false,
diazepam,protease inhibitors,false,
diazepam,quetiapine,false,
diazepam,risperidone,false,
diazepam,theophylline,false,
diazepam,topiramate,false,
diazepam,tiagabine,false,
diazepam,tramadol,false,
diazepam,triazolam,false,
diazepam,valproate,false,
diazepam,warfarin,false,
diazepam,ziprasidone,false,
diazepam,zonisamide,false,
dicumarol,doxycycline,false,
dicumarol,ethosuximide,false,
dicumarol,felbamate,false,
dicumarol,felodipine,false,
dicumarol,glucocorticoids,false,
dicumarol,haloperidol,false,
dicumarol,itraconazole,false,
dicumarol,lamotrigine,false,
dicumarol,levothyroxine,false,
dicumarol,lorazepam,false,
dicumarol,methadone,false,
dicumarol,midazolam,false,
dicumarol,mirtazapine,false,
dicumarol,nortriptyline,false,
dicumarol,olanzapine,false,
dicumarol,contraceptives,false,
dicumarol,oxcarbazepine,false,
dicumarol,Phenytoin,false,
dicumarol,praziquantel,false,
dicumarol,protease inhibitors,false,
dicumarol,quetiapine,false,
dicumarol,risperidone,false,
dicumarol,theophylline,false,
dicumarol,topiramate,false,
dicumarol,tiagabine,false,
dicumarol,tramadol,false,
dicumarol,triazolam,false,
dicumarol,valproate,false,
dicumarol,warfarin,false,
dicumarol,ziprasidone,false,
dicumarol,zonisamide,false,
doxycycline,ethosuximide,false,
doxycycline,felbamate,false,
doxycycline,felodipine,false,
doxycycline,glucocorticoids,false,
doxycycline,haloperidol,false,
doxycycline,itraconazole,false,
doxycycline,lamotrigine,false,
doxycycline,levothyroxine,false,
doxycycline,lorazepam,false,
doxycycline,methadone,false,
doxycycline,midazolam,false,
doxycycline,mirtazapine,false,
doxycycline,nortriptyline,false,
doxycycline,olanzapine,false,
doxycycline,contraceptives,false,
doxycycline,oxcarbazepine,false,
doxycycline,Phenytoin,false,
doxycycline,praziquantel,false,
doxycycline,protease inhibitors,false,
doxycycline,quetiapine,false,
doxycycline,risperidone,false,
doxycycline,theophylline,false,
doxycycline,topiramate,false,
doxycycline,tiagabine,false,
doxycycline,tramadol,false,
doxycycline,triazolam,false,
doxycycline,valproate,false,
doxycycline,warfarin,false,
doxycycline,ziprasidone,false,
doxycycline,zonisamide,false,
ethosuximide,felbamate,false,
ethosuximide,felodipine,false,
ethosuximide,glucocorticoids,false,
ethosuximide,haloperidol,false,
ethosuximide,itraconazole,false,
ethosuximide,lamotrigine,false,
ethosuximide,levothyroxine,false,
ethosuximide,lorazepam,false,
ethosuximide,methadone,false,
ethosuximide,midazolam,false,
ethosuximide,mirtazapine,false,
ethosuximide,nortriptyline,false,
ethosuximide,olanzapine,false,
ethosuximide,contraceptives,false,
ethosuximide,oxcarbazepine,false,
ethosuximide,Phenytoin,false,
ethosuximide,praziquantel,false,
ethosuximide,protease inhibitors,false,
ethosuximide,quetiapine,false,
ethosuximide,risperidone,false,
ethosuximide,theophylline,false,
ethosuximide,topiramate,false,
ethosuximide,tiagabine,false,
ethosuximide,tramadol,false,
ethosuximide,triazolam,false,
ethosuximide,valproate,false,
ethosuximide,warfarin,false,
ethosuximide,ziprasidone,false,
ethosuximide,zonisamide,false,
felbamate,felodipine,false,
felbamate,glucocorticoids,false,
felbamate,haloperidol,false,
